,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
"Yes, probably",0.290447686704027,0.337305527409675,0.37624783048443333,0.44597493956192885,0.3604604280883923
Don't know/ No opinion,0.2593671774752089,0.20953214009247892,0.2528082008202131,0.28506959172955915,0.2547087790014504
"Yes, definitely",0.15643716741562677,0.20586186787509003,0.1490273180280217,0.13597286941420483,0.15778783183732825
"No, definitely not",0.18165402098015737,0.16414270701279865,0.12582401012330477,0.05716389130288788,0.1330344798886529
"No, probably not",0.1120939474249799,0.08315775760995732,0.09609264054402726,0.07581870799141935,0.09400848118417619
