,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
Don't know/ No opinion,0.27612011185139573,0.24289385270255012,0.2921414216661601,0.4196007098208914,0.3079031180325823
Never,0.2023598946545257,0.1845792616919817,0.19059717860578115,0.16643521207849174,0.18756734121072222
Daily,0.13614696833712317,0.20804979205020616,0.16517582320741248,0.1645878759871345,0.16380506415293772
Weekly,0.1541916474503398,0.15000616762021318,0.14990731696958592,0.11780303125075331,0.14394302084247163
Rarely,0.14182967368234542,0.15728480788325525,0.13411158825508476,0.0984664742760165,0.13222363176638877
Monthly,0.08935170402427027,0.05718611805179357,0.06806667129597545,0.033106696586712545,0.0645578239948973
