,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
Never,0.08159529707543432,0.13914185427108483,0.23566268314416114,0.27816686935379187,0.19174864003787342
Monthly,0.11928175489374235,0.09988195562640008,0.049104586906590066,0.026763454308673534,0.06941176010247317
Not at all,0.13441580028445926,0.18988615716254076,0.24024219303238903,0.34747325439652,0.23195152864443747
Daily,0.17634575172486022,0.1273143094258339,0.12393777269480986,0.07543942608376283,0.12587804044628392
Rarely,0.21246905836659385,0.20575292777379012,0.1980126626995386,0.18078001708380081,0.19863422567301928
Weekly,0.27589233765490995,0.23802279574035032,0.1530401015225112,0.09137697877345105,0.1823758050959127
