,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
Social media,0.5628049028435645,0.46904095203474366,0.3278905064997376,0.20530394878804575,0.3922925496300461
National television,0.2090628482379404,0.2658730900190582,0.3889096577654914,0.6016714004582983,0.36385548615896013
Local or regional television,0.10575259073339752,0.20220978596339936,0.3287754076828574,0.4980990576079211,0.2807997282736483
Search through Google or other search engines,0.2726130734733947,0.2045939758612811,0.21425675401310273,0.21159902295837224,0.2290000307515042
"National news outlets, print or online",0.14210319144219932,0.15327312572861237,0.22609203390809196,0.3569997217258737,0.21891303711298693
"Local or state news outlets, print or online",0.1239337864184838,0.14929190850545368,0.23383355278795384,0.25517649575377005,0.19249151827739763
Radio,0.15295358945930967,0.2040781729734044,0.15950345123350093,0.14106508368623816,0.16093504900636327
Podcasts,0.12218560806213774,0.1315557886999167,0.08207475851066615,0.06887846722029739,0.09907462337187538
I am not interested in election news or information,0.1172407308810225,0.1038068373582939,0.08247669533766643,0.018289137446007214,0.08171689214708482
"News aggregator apps (e.g. NewsBreak, Smart News, Apple News)",0.07028681277889533,0.08432887651721167,0.07010090893703153,0.08144000104716335,0.07509673768047782
Don't know/ No opinion,0.08062505165699865,0.07140091085878918,0.04506055468179888,0.02421061926978693,0.05512974439786754
"Newsletters, blogs, or online forums",0.09947126125611722,0.04999903822747533,0.03542099002898849,0.02494668193680636,0.05413111733528265
"AI-enabled chatbot (e.g. ChatGPT, Gemini, or Claude)",0.03178500162855363,0.05343829287202028,0.009147303921294625,0.0013510601798513533,0.021411565607193116
"Other, please specify",0.006684900881083635,0.009370759169800768,0.029488414534071295,0.02178353964908425,0.01774650845436319
