,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
"Other, please specify",0.005604025917728342,0.001991792246635661,0.030915963328049377,0.08386828205877239,0.03313673437967381
Substack,0.011764563063448382,0.01267297506537943,0.0,0.001187327890919572,0.005271199334277928
Apple Podcasts,0.016463983123020335,0.03920676258032393,0.01803757910287277,0.014102970281896082,0.019904644612977987
Nextdoor,0.019960524071039897,0.013174128194160658,0.04003141484486287,0.027016215504332065,0.027498667207032083
WhatsApp,0.02056587950922831,0.0354812194423609,0.02184541807860604,0.007424052852543302,0.020020727357601784
Spotify,0.020951618044431585,0.062258334929432835,0.012382408226200972,0.0,0.019167576301233197
Discord,0.02231016439549145,0.01067922572668407,0.004720740654909438,0.0,0.008989716347734156
Threads,0.03031707089284454,0.005402904257214429,0.007759990365681952,0.010197378958059352,0.013812503472899645
LinkedIn,0.0343095178982327,0.0631500225841048,0.043374096371283574,0.019793970850302486,0.038208323499138996
Snapchat,0.03631323601562969,0.07526509253287467,0.009020798414895467,0.0030053966666141563,0.024725766475470822
Don't know/ No opinion,0.03734917128599184,0.08545841047499077,0.11555522071458843,0.11439603517881329,0.09050775816301983
I do not consume information about elections online,0.04226391653763729,0.06604473559040476,0.09383998120505882,0.243425063221689,0.11352535535634264
Truth Social,0.04531152685039282,0.030567690293366423,0.03588086573044009,0.024205410137931427,0.034586685287784184
Reddit,0.11789948590874427,0.08811093631510333,0.04081127837616038,0.005479348292524622,0.05913005318881023
TikTok,0.16614578701576171,0.10721455640112373,0.0492909973728322,0.02697210748946286,0.08271963686475417
Twitter/X,0.1972208311448467,0.11810929572931739,0.07760132071925424,0.050922358958835574,0.10798145034877518
Instagram,0.21112874166697,0.12649736866216799,0.07551563793586427,0.04690035334623327,0.1111404990258324
Facebook,0.24781821141311872,0.24560867749914211,0.22358398497852405,0.1467834566981609,0.21408974078429718
YouTube,0.3488979758638113,0.20262526602441128,0.22095227909832924,0.14970140358189263,0.23334434782536906
Google,0.504935739306912,0.562664845749722,0.5585411274316092,0.45243010100532133,0.5189597290217935
