,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
"No, definitely not",0.07711931289481272,0.0656035954232947,0.03903825209588497,0.06018701836643577
"No, probably not",0.1136975192798837,0.11750824746310258,0.09137402810981096,0.10596152222631658
Don't know/ No opinion,0.17278532840343458,0.21437028787478427,0.1666250861404141,0.17905508480035667
"Yes, definitely",0.22611757601896976,0.16319209373979685,0.21084354651328355,0.2072363758275867
"Yes, probably",0.41028026340289914,0.4393257754990217,0.4921190871406065,0.44755999877930425
