,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Monthly,0.07175144891155126,0.06973712107740361,0.09970176257999158,0.08192844664588621
Never,0.11627202120303701,0.16238217802876062,0.12292514955376115,0.1284176204458165
Rarely,0.13419256472628027,0.12223047072704922,0.11843925890448226,0.12572323151842998
Weekly,0.21453272423338554,0.13725558888845293,0.17606884448382976,0.18382159365196382
Daily,0.2174906024952478,0.16331501499935341,0.1908651074445993,0.1960892326888836
Don't know/ No opinion,0.2457606384304982,0.3450796262789802,0.291999877033336,0.2840198750490199
