,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Substack,0.0005846343503359287,0.000681294971670867,0.0020931435213864783,0.001180830769687697
Discord,0.006448779875345763,0.002346638893359707,0.009847922111971386,0.00689646237319091
Truth Social,0.007570127619088073,0.022125920353120866,0.08326133023593202,0.03949744489780242
Threads,0.012765921125354183,0.006215436440261078,0.003043152802501027,0.0076942131333862405
Nextdoor,0.01535013820163455,0.012384854705471281,0.004802201335677603,0.010706654349555872
Spotify,0.01878985792050459,0.008584366906923074,0.04353057268217538,0.026123135896120756
LinkedIn,0.0211801235680541,0.03494620455403925,0.030971237722008892,0.027774077646460987
WhatsApp,0.02167369231386067,0.022134747756285517,0.013846073775747259,0.01877964192484984
Apple Podcasts,0.0306412467976562,0.016009856591580406,0.02858698122880243,0.026822853419171466
Don't know/ No opinion,0.03427349564601379,0.07134713071908738,0.025333017191380532,0.038545963789637656
"Other, please specify",0.04067199951477866,0.027759332051890153,0.048621376148527996,0.0410307318708374
Snapchat,0.043312092415685816,0.01893082417885924,0.010538307610069355,0.025739186403083356
Reddit,0.06879789498936367,0.07254141481797527,0.0474793885446715,0.06143180226060968
I do not consume information about elections online,0.08527243196772222,0.07758954622186316,0.09913953198800589,0.088975742935788
TikTok,0.13254749747915948,0.08271765836247402,0.10424725748088298,0.11140647891459458
Twitter/X,0.15140755827223215,0.187491974381966,0.20510609376525596,0.17939900934607372
Instagram,0.2165683935406236,0.140872441204547,0.14576445511681546,0.17383038421486177
Facebook,0.3247385938816948,0.2910477687776664,0.3282500585183001,0.3190940100253632
YouTube,0.3660364379520139,0.31937119119573615,0.27764639731278246,0.3226011330448441
Google,0.5058312326496003,0.5699220800810054,0.5354722772510058,0.5304413500557754
