,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
"Other, please describe",0.07311646244758856,0.05519220371508165,0.10982673332932122,0.08342087094997688
I participate regularly and actively contribute to discussions,0.16143011542382313,0.09456959118331952,0.09733849474638763,0.12308779392940282
I participate occasionally,0.24619293621465013,0.1774400397786569,0.2517920043398348,0.2340756189251403
I mostly observe discussions had by others,0.519260485913938,0.6727981653229419,0.5410427675844565,0.55941571619548
