,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Not at all,0.21783753293761188,0.3924175668689182,0.27308905644232595,0.29217968771411
Never,0.19373328343641016,0.20924212299083195,0.1962533335994339,0.19960764743864037
Rarely,0.20222500102465146,0.19326740560870484,0.193065605437378,0.19647782046054663
Weekly,0.17799904663447033,0.09957006469257994,0.1526771845379046,0.14444836219677698
Daily,0.12378846535928356,0.058366387904851706,0.11812055839914028,0.10052475338952599
Monthly,0.0844166706075725,0.04713645193411338,0.06679426158381727,0.06676172880039997
