,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
"Other, please specify",0.008500073418300117,0.013198698357026832,0.012266634387596518,0.010908757696764124
Don't know/ No opinion,0.01988615007195492,0.03129408196297612,0.013480166291440865,0.01983811998661433
I am not interested in election news or information,0.026078884984022527,0.03780268959226426,0.016348335856768578,0.0248362652148901
"AI-enabled chatbot (e.g. ChatGPT, Gemini, or Claude)",0.0363608932520206,0.021161031166931056,0.02910292003622568,0.03043685861406077
"Newsletters, blogs, or online forums",0.06197815677068749,0.04696233707837958,0.07969531587554506,0.06556187134830622
Podcasts,0.09246683129406671,0.09836805145934155,0.11808408697292115,0.10341120105820502
"News aggregator apps (e.g. NewsBreak, Smart News, Apple News)",0.11337220909173613,0.1071280288594275,0.101266348342357,0.10747912000625581
Radio,0.15823725950848858,0.1358827831684137,0.15819983074388125,0.15355775172751507
"Local or state news outlets, print or online",0.21875179869202052,0.23399430001708144,0.25269553772460346,0.23480266007180936
Search through Google or other search engines,0.287990618778609,0.30036983735475065,0.2545926274613786,0.27791125367683
"National news outlets, print or online",0.32605416605247217,0.306902727532427,0.25253252651776376,0.2941815298700074
Local or regional television,0.340072967386682,0.3121334635534971,0.3582870259338392,0.34114794505531837
Social media,0.3751247437789162,0.31701810779380174,0.4113633740977215,0.37673795526916737
National television,0.4429726245025503,0.43259571438641103,0.48226057154433755,0.45570304688956503
