,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Far too little,0.24473396024212266,0.2461443872573167,0.25356407034974726,0.25356407034974726
Too little,0.271165002410865,0.2550796079903138,0.23810247036198515,0.23810247036198515
About the right amount,0.2859899791216726,0.2225690908329169,0.2601248804642535,0.2601248804642535
Too much,0.08606610530374814,0.09893372249337146,0.09646565057060717,0.09646565057060717
Far too much,0.04075151708467753,0.055527428352038555,0.06523932378888153,0.06523932378888153
Don't know/ No opinion,0.07129343583691408,0.12174576307404256,0.08650360446452532,0.08650360446452532
