,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Very confident,0.52178215120178,0.24045388859995312,0.31630205766757885,0.36686650383211156
Somewhat confident,0.2942978569811578,0.22970469621673442,0.38977173746773286,0.3002618849590782
Don't know/ No opinion,0.09577607645005667,0.3336079272434708,0.09176820956645637,0.17499788046672762
Not to confident,0.055957257737442916,0.09453983470908113,0.14544631915535422,0.09505288124922394
Not confident at all,0.03218665762956262,0.10169365323076049,0.05671167614287749,0.06282084949285856
