,overall
"News media professionals (local/national TV news anchors, journalists, reporters)",0.38767105021060294
Friends and family,0.20197828097439047
A federal agency or website dedicated to elections (e.g. the U.S. Election Assistance Commission or vote.gov),0.17448028533475263
"Your favorite commentator or analyst from a radio show, podcast, TV show, blog, or newspaper",0.15867888364476201
Don't know/ No opinion,0.153146050729127
"Your favorite social media influencer or content creator (e.g. TikTok, X/Twitter, Reels, etc.)",0.13067629478999346
"Fact-checking organizations (e.g. Snopes, PolitiFact, AP Fact Check, etc.)",0.10990084116705877
State election administrators,0.10700639047816199
Election-related organizations (including integrity and voting rights groups),0.10504495503336692
Your preferred candidate,0.09552703693601688
Local or county administrators,0.08871581633273436
A national political party organization,0.08667595809842174
"Elected officials at any level (e.g. mayors, governors, Congress members)",0.0804589417586222
Civic or religious organizations in your community,0.04292533073099554
"Other, please specify",0.022541396171491125
