,overall
Don't know/ No opinion,0.08415223452595431
Neither are responsible,0.12187466927674556
Mainly the responsibility of government,0.15659385665122535
Mainly the responsibility of social media platforms,0.29196425948880783
Social media platforms and government should share the responsibility,0.34541498005726695
