,Far too little,Too little,About the right amount,Too much,Far too much,Don't know/ No opinion
Local government,0.12443420756973998,0.25422285451778626,0.3822525794876604,0.0665336146325464,0.03813752621758405,0.13441921757468298
Your state government,0.12646957225020178,0.27819221086784884,0.3712798117121462,0.059844334256839826,0.04662666774850292,0.11758740316446056
Federal government,0.16445789453411416,0.2734384795274119,0.29880003410205197,0.0772051542653699,0.07318157460115852,0.11291686296989335
Social media platforms,0.25356407034974726,0.23810247036198515,0.2601248804642535,0.09646565057060717,0.06523932378888153,0.08650360446452532
