,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)",A few times in the weeks around major election dates or deadlines,Regularly in the weeks around major election dates or deadlines,Consistently throughout the year,Never
Information about how to register and vote,0.24835940458249284,0.13831677803828688,0.16685925950664932,0.16389542699568244,0.2825691308768886
Information about how elections are run,0.21917249065203823,0.17632603955387532,0.1808456795150925,0.18202873624242247,0.24162705403657145
Information about who won an election,0.3305489084903867,0.16035727178254153,0.21250804071055718,0.2020888263167895,0.0944969526997251
Information about candidates,0.16706024583293408,0.18179827849049318,0.272038925819424,0.27840510391476,0.10069744594238872
News about campaigns,0.16141176001364216,0.20254800267879378,0.23739058509255076,0.25327636090069444,0.14537329131431875
