,overall
"Other, please specify",0.010908757696764124
Don't know/ No opinion,0.01983811998661433
I am not interested in election news or information,0.0248362652148901
"AI-enabled chatbot (e.g. ChatGPT, Gemini, or Claude)",0.03043685861406077
"Newsletters, blogs, or online forums",0.06556187134830622
Podcasts,0.10341120105820502
"News aggregator apps (e.g. NewsBreak, Smart News, Apple News)",0.10747912000625581
Radio,0.15355775172751507
"Local or state news outlets, print or online",0.23480266007180936
Search through Google or other search engines,0.27791125367683
"National news outlets, print or online",0.2941815298700074
Local or regional television,0.34114794505531837
Social media,0.37673795526916737
National television,0.45570304688956503
