,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Very confident,65.2%,42.9%,34.7%,48.9%
Somewhat confident,22.4%,31.9%,36.0%,29.6%
Not to confident,5.3%,13.3%,14.7%,10.6%
Not confident at all,2.6%,3.2%,11.4%,6.1%
Don't know/ No opinion,4.4%,8.8%,3.1%,4.8%
