,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Your vote,88.4%,76.0%,72.0%,79.6%
Votes in your local community,89.9%,79.1%,75.9%,82.3%
Votes in your state,87.6%,74.8%,70.7%,78.5%
Votes across the country,85.5%,64.9%,61.1%,71.9%
