,PID: Dem (no lean),PID: Ind (no lean),PID: Rep (no lean),overall
Very confident,57.4%,33.7%,25.3%,40.2%
Somewhat confident,28.1%,31.2%,35.8%,31.7%
Not to confident,5.8%,20.2%,19.4%,14.0%
Not confident at all,3.6%,4.5%,15.6%,8.4%
Don't know/ No opinion,5.1%,10.4%,4.0%,5.8%
