,overall
Other (please specify),0.0058595157266767735
Don't know/no opinion,0.05646008215905638
Creating and posting your own election-related content,0.05853806674131459
Sharing election content with your followers,0.09848706519658093
"Privately sharing election content (e.g., private messages, direct messages)",0.10420474702449757
Liking or reacting to election-related posts,0.15998276198875863
Commenting on or discussing election-related posts,0.16105185174644235
Sharing content offline with your friends/family,0.18196496125220613
"None of the above, I don't engage with election content on online platforms.",0.26228240484603743
Clicking on links to learn more about election topics,0.31820328849386126
Browsing or reading posts about election-related topics,0.41422157741189836
