,overall
"Other, please specify",0.007263268977108246
Don't know/no opinion,0.08398467148969897
I have not had a positive experience when discussing elections online,0.10352177938688883
Feeling a closer connection to political leaders or candidates,0.25357443582691064
Finding a source of humor about current political events,0.3634457378223775
Finding community with like-minded people,0.3872743803314553
Encountering helpful information that I was previously unaware of,0.46518850273058276
