,overall
"Other, please specify",0.015109257251842988
"AI-enabled chatbot (e.g., ChatGPT or Google's Bard)",0.019186766936496902
Don't know/ no opinion,0.025711235247637337
I am not interested in election news or information,0.04854615622370667
"Newsletters, blogs, or online forums",0.06186028631656548
"News aggregator apps (e.g., NewsBreak, SmartNews, AppleNews)",0.0912679878189561
Podcasts,0.0947014558886702
"Print publications, such as newspapers or magazines",0.09754524338098035
Radio,0.14941172782080442
Search through Google or other search engines,0.23826627498489372
Friends and family,0.28026184726919695
News websites (including TV news and print publications websites),0.30347607474345145
Local or regional television,0.33560453990081
Social media,0.3586889753719884
National television,0.42538195278123186
