,Several times a day,At least once a day,Most days in a week,A few times per week,Once per week,Less than once per week,toI don't know
Global news,0.11443431545970599,0.23115984670831247,0.11858436217939414,0.16464491874086834,0.09008112171715639,0.15940877154202002,0.12168666365254256
National news,0.16100894698244259,0.25359784015490033,0.13737766383067088,0.16996499510746363,0.07301846000195929,0.11483810011237716,0.09019399381018618
Local news,0.17518530547235858,0.26774420125020204,0.1321563264383669,0.16269843152466412,0.07076989632612767,0.1188689471268596,0.07257689186142113
