,overall
Don't know/no opinion,0.08777135479859775
Somewhat unacceptable,0.1064624970790944
Not acceptable at all,0.13417015975717408
Completely acceptable,0.17249210046238198
Somewhat acceptable,0.19930890979423746
Neutral/Indifferent,0.29979497810851424
