,Far too little,Too little,About the right amount,Too much,Far too much,Don't know/no opinion
Your state government,0.15965220420692336,0.2585406107831078,0.34498389161714027,0.06640942942900903,0.0599942291754551,0.1104196347883646
Federal government,0.1810130313948844,0.26290199657767316,0.285976975943483,0.08067890206510794,0.08450760576779676,0.10492148825105475
Social media platforms,0.24203359655422627,0.21556250680811426,0.23418928231122213,0.09842809341513678,0.08966930267140931,0.12011721823989138
