,overall
"Other, please specify",0.012293017186537369
Don't know/ no opinion,0.019213224254230898
Podcasts,0.10024644823854015
"Newsletters, blogs, or online forums",0.10389877442444181
"News aggregator apps (e.g., NewsBreak, SmartNews, AppleNews)",0.1112112397709152
"Print publications, such as newspapers or magazines",0.1218656899565916
Radio,0.22530363411763096
Google or other search engines,0.24178319247168256
News websites (including TV news and print publications websites),0.29959459680244005
Local or regional television,0.43504732219990516
Social media,0.47166370642567734
National television,0.5363951168633391
