,overall
Don't know/no opinion,0.11063392102504896
Neither are responsible,0.12011846061029598
Mainly the responsibility of government,0.1540105297007659
Mainly the responsibility of social media platforms,0.28095086337149605
Social media platforms and government should share responsibility,0.33428622529239316
