,2023,2024
Your vote,0.6929449406317751,0.7956227699499901
Votes in your local community,0.7388279648382098,0.8232890443685874
Votes in your state,0.7289423681958611,0.7851257973368275
Votes across the country,0.6394297702284667,0.7188068541362912
